"","target","p","padj"
"THRB","THRB",0.473,1
"MINK1","MINK1",0.481,1
"NR3C1","NR3C1",0.481,1
"HTR6","HTR6",0.485,1
"JAK2","JAK2",0.485,1
"PKN2","PKN2",0.485,1
"ADCY1","ADCY1",0.488,1
"MAPKAPK2","MAPKAPK2",0.488,1
"PGR","PGR",0.497,1
"NTRK1","NTRK1",0.503,1
"NISCH","NISCH",0.506,1
"CCR4","CCR4",0.508,1
"SLC6A3","SLC6A3",0.511,1
"CDK7","CDK7",0.516,1
"NTRK2","NTRK2",0.516,1
"ADRA1D","ADRA1D",0.517,1
"NR1H4","NR1H4",0.519,1
"NR1I2","NR1I2",0.519,1
"","",0.521,1
"CDK2","CDK2",0.524,1
"FABP2","FABP2",0.526,1
"GPBAR1","GPBAR1",0.526,1
"SOAT1","SOAT1",0.526,1
"PIM1","PIM1",0.528,1
"DDR1","DDR1",0.53,1
"CA13","CA13",0.531,1
"GRM1","GRM1",0.531,1
"KDR","KDR",0.535,1
"HTR4","HTR4",0.547,1
"CDK5","CDK5",0.552,1
"ADRA2B","ADRA2B",0.553,1
"PRKCZ","PRKCZ",0.558,1
"CDK9","CDK9",0.561,1
"SLCO4C1","SLCO4C1",0.566,1
"HTR1D","HTR1D",0.567,1
"IDO1","IDO1",0.567,1
"CCND1","CCND1",0.568,1
"ADORA2B","ADORA2B",0.581,1
"CHEK2","CHEK2",0.583,1
"CAMK2B","CAMK2B",0.587,1
"HTR1A","HTR1A",0.587,1
"PTK6","PTK6",0.591,1
"OPRD1","OPRD1",0.596,1
"OPRM1","OPRM1",0.596,1
"AOX1","AOX1",0.602,1
"MAOA","MAOA",0.604,1
"PTGS2","PTGS2",0.605,1
"CNR1","CNR1",0.607,1
"NOX1","NOX1",0.612,1
"ADRB3","ADRB3",0.619,1
"FER","FER",0.62,1
"SCN1A","SCN1A",0.625,1
"SCN2A","SCN2A",0.625,1
"SCN3A","SCN3A",0.625,1
"EGFR","EGFR",0.626,1
"MAPK11","MAPK11",0.629,1
"ABCG2","ABCG2",0.63,1
"CSNK1A1","CSNK1A1",0.635,1
"MCL1","MCL1",0.637,1
"PRKCQ","PRKCQ",0.646,1
"ATP1A1","ATP1A1",0.66,1
"ATP1A2","ATP1A2",0.66,1
"ATP1A3","ATP1A3",0.66,1
"ATP1A4","ATP1A4",0.66,1
"ATP1B1","ATP1B1",0.66,1
"ATP1B2","ATP1B2",0.66,1
"ATP1B3","ATP1B3",0.66,1
"DRD1","DRD1",0.66,1
"FXYD2","FXYD2",0.66,1
"RORC","RORC",0.66,1
"SLC6A4","SLC6A4",0.664,1
"HTR2A","HTR2A",0.665,1
"XBP1","XBP1",0.666,1
"SYK","SYK",0.679,1
"HIPK4","HIPK4",0.685,1
