"","target","p","padj"
"CHEMBL279","CHEMBL279",0.077,1
"CHEMBL6175","CHEMBL6175",0.077,1
"CHEMBL1075317","CHEMBL1075317",0.078,1
"CHEMBL3180","CHEMBL3180",0.078,1
"CHEMBL3351190","CHEMBL3351190",0.078,1
"CHEMBL4471","CHEMBL4471",0.079,1
"CHEMBL4524","CHEMBL4524",0.079,1
"CHEMBL4618","CHEMBL4618",0.08,1
"CHEMBL2111394","CHEMBL2111394",0.082,1
"CHEMBL5311","CHEMBL5311",0.082,1
"CHEMBL3038489","CHEMBL3038489",0.083,1
"CHEMBL3227","CHEMBL3227",0.083,1
"CHEMBL3278","CHEMBL3278",0.083,1
"CHEMBL3660","CHEMBL3660",0.083,1
"CHEMBL4045","CHEMBL4045",0.083,1
"CHEMBL4774","CHEMBL4774",0.083,1
"CHEMBL5466","CHEMBL5466",0.083,1
"CHEMBL1785","CHEMBL1785",0.084,1
"CHEMBL2608","CHEMBL2608",0.084,1
"CHEMBL2756","CHEMBL2756",0.084,1
"CHEMBL2888","CHEMBL2888",0.084,1
"CHEMBL3067","CHEMBL3067",0.084,1
"CHEMBL4176","CHEMBL4176",0.084,1
"CHEMBL4270","CHEMBL4270",0.084,1
"CHEMBL5455","CHEMBL5455",0.085,1
"CHEMBL2265","CHEMBL2265",0.087,1
"CHEMBL2821","CHEMBL2821",0.087,1
"CHEMBL3253","CHEMBL3253",0.087,1
"CHEMBL4140","CHEMBL4140",0.087,1
"CHEMBL3834","CHEMBL3834",0.088,1
"CHEMBL4507","CHEMBL4507",0.088,1
"CHEMBL2096977","CHEMBL2096977",0.089,1
"CHEMBL2878","CHEMBL2878",0.089,1
"CHEMBL2963","CHEMBL2963",0.089,1
"CHEMBL2093865","CHEMBL2093865",0.09,1
"CHEMBL2095217","CHEMBL2095217",0.09,1
"CHEMBL5099","CHEMBL5099",0.09,1
"CHEMBL2052038","CHEMBL2052038",0.091,1
"CHEMBL3542","CHEMBL3542",0.091,1
"CHEMBL3475","CHEMBL3475",0.092,1
"CHEMBL2880","CHEMBL2880",0.093,1
"CHEMBL4884","CHEMBL4884",0.093,1
"CHEMBL5256","CHEMBL5256",0.093,1
"CHEMBL205","CHEMBL205",0.094,1
"CHEMBL3935","CHEMBL3935",0.094,1
"CHEMBL2094115","CHEMBL2094115",0.095,1
"CHEMBL2978","CHEMBL2978",0.095,1
"CHEMBL4652","CHEMBL4652",0.095,1
"CHEMBL5450","CHEMBL5450",0.095,1
"CHEMBL6167","CHEMBL6167",0.095,1
"CHEMBL1787","CHEMBL1787",0.096,1
"CHEMBL3740","CHEMBL3740",0.096,1
"CHEMBL2111421","CHEMBL2111421",0.097,1
"CHEMBL1907587","CHEMBL1907587",0.098,1
"CHEMBL1907591","CHEMBL1907591",0.098,1
"CHEMBL1907592","CHEMBL1907592",0.098,1
"CHEMBL1907595","CHEMBL1907595",0.098,1
"CHEMBL1907596","CHEMBL1907596",0.098,1
"CHEMBL2109234","CHEMBL2109234",0.098,1
"CHEMBL2599","CHEMBL2599",0.1,1
"CHEMBL3286067","CHEMBL3286067",0.1,1
"CHEMBL3818","CHEMBL3818",0.1,1
"CHEMBL4716","CHEMBL4716",0.1,1
"CHEMBL5695","CHEMBL5695",0.1,1
"CHEMBL5859","CHEMBL5859",0.1,1
"CHEMBL1075246","CHEMBL1075246",0.101,1
"CHEMBL4335","CHEMBL4335",0.101,1
"CHEMBL4901","CHEMBL4901",0.101,1
"CHEMBL4478","CHEMBL4478",0.102,1
"CHEMBL2499","CHEMBL2499",0.103,1
"CHEMBL3331","CHEMBL3331",0.103,1
"CHEMBL5160","CHEMBL5160",0.103,1
"CHEMBL5575","CHEMBL5575",0.103,1
"CHEMBL5896","CHEMBL5896",0.103,1
"CHEMBL3357","CHEMBL3357",0.104,1
"CHEMBL1945","CHEMBL1945",0.105,1
"CHEMBL1991","CHEMBL1991",0.105,1
"CHEMBL2794","CHEMBL2794",0.105,1
"CHEMBL2973","CHEMBL2973",0.105,1
"CHEMBL3038510","CHEMBL3038510",0.105,1
