"","TCGA-DH-A669-02","TCGA-DU-5870-02","TCGA-DU-5872-02","TCGA-DU-6397-02","TCGA-DU-6404-02","TCGA-DU-6407-02","TCGA-DU-7304-02","TCGA-FG-5963-02","TCGA-FG-5965-02","TCGA-FG-A4MT-02","TCGA-TM-A7CF-02","TCGA-TQ-A7RK-02","TCGA-TQ-A7RV-02","TCGA-TQ-A8XE-02","GTEX-11ZU8-0011-R4a-SM-5BC6Y","GTEX-12WSA-0011-R4a-SM-57WB7","GTEX-12WSF-0011-R4b-SM-5HL88","GTEX-12ZZW-0011-R4a-SM-5DUX9","GTEX-12ZZZ-0011-R4b-SM-5DUV7","GTEX-13112-0011-R4b-SM-5DUXL","GTEX-131XH-0011-R4b-SM-5DUWB","GTEX-1399T-0011-R4b-SM-5DUVX","GTEX-139T8-0011-R4a-SM-5HL54","GTEX-139UC-0011-R4a-SM-5K7XM","GTEX-13CZV-0011-R4b-SM-5J2NY","GTEX-13FLV-0011-R4a-SM-5LZYU","GTEX-13JVG-0011-R4a-SM-5MR4C","GTEX-13N1W-0011-R4a-SM-5MR52","GTEX-13N2G-0011-R4b-SM-5MR54","GTEX-13NYS-0011-R4b-SM-5MR3O","GTEX-13O3Q-0011-R4a-SM-5P9H2","GTEX-13OVH-0011-R4a-SM-5KM3W","GTEX-13OVL-0011-R4b-SM-5L3HV","GTEX-13OW5-0011-R4b-SM-5L3HS","GTEX-13OW6-0011-R4a-SM-5O9DX","GTEX-13OW7-0011-R4b-SM-5O9CX","GTEX-13RTJ-0011-R4b-SM-5PNX1","GTEX-13SLW-0011-R4b-SM-5S2W2","GTEX-13VXU-0011-R4b-SM-5O9CI","GTEX-13X6J-0011-R4b-SM-5P9K4","GTEX-1445S-0011-R4a-SM-5PNWN","GTEX-144GL-0011-R4a-SM-5PNUI","GTEX-147GR-0011-R4a-SM-5S2V2","GTEX-14ABY-0011-R4b-SM-5S2VN","GTEX-N7MS-0011-R4a-SM-2HMKW","GTEX-NPJ8-0011-R4a-SM-2HML3","GTEX-P44G-0011-R4A-SM-2I3FB","GTEX-P44H-0011-R4A-SM-2XCEW","GTEX-QMR6-0011-R4A-SM-32PKU","GTEX-RVPU-0011-R4A-SM-2TF6X","GTEX-RVPU-0011-R4A-SM-5SI8K","GTEX-S7SE-0011-R4A-SM-2XCDB","GTEX-T6MN-0011-R4A-SM-32QPG","GTEX-T6MN-0011-R4A-SM-5CHSD","GTEX-WHSE-0011-R4A-SM-3P5ZN","GTEX-WVLH-0011-R4A-SM-3MJFS","GTEX-WZTO-0011-R4A-SM-3NMC7","GTEX-X4XX-0011-R4B-SM-46MWL","GTEX-X585-0011-R4B-SM-46MVH","GTEX-XLM4-0011-R4B-SM-4AT5C","GTEX-ZE9C-0011-R4a-SM-4WKH6"
"ENSG00000090382",2.06351787942564,3.58738036815251,9.82898547423295,4.60881089511903,2.62992893710354,4.28613150309387,0.999978992078611,5.2265176357217,0.933561687638271,2.26606097374447,0.23879274945159,1.20162200397468,2.34770300007491,2.6758556596795,1.3045126815928,0.555816486699967,1.95236818873776,1.42762084508111,1.81966280068104,1.74846260915353,1.72681916647702,1.58494838220413,2.15053806026435,1.6825739688069,1.20162200397468,0.978174336475226,0.933561687638271,1.3334115699462,2.08403443800962,1.2203239161193,0.704867353785679,1.09761144090414,1.1374837886789,1.13094532873489,0.454178305514821,0.432948244131986,2.06351787942564,2.94296459173381,0.799067951821434,0.773987400246651,1.996367824148,0.678058046144846,3.72678543783639,0.75704057655925,1.75275164287851,1.31035705625653,1.02858442607266,2.54099228999837,1.14404699153806,1.37852805951426,1.07726468373127,1.37293131323776,1.87186654309437,-1.57152524224268e-08,1.99996750008998,1.6825739688069,1.11767287700506,1.44357685217348,2.74848903406997,2.23264883829362,0.918387489927324
"ENSG00000090889",2.66220029322413,1.59932433604982,0.432948244131986,3.21260345069015,4.13335529011771,4.87033571488375,1.56070584236227,5.00179920999322,2.12433542541297,1.33915294741526,0.650778142954816,2.20790211826343,0.545956163526288,1.16349700625866,0.0285684699491018,0.124327270460246,0.084066966502593,0.056584800958701,0.137501026492167,0.111033883550311,0.2986649344837,0.124327270460246,0.084066966502593,0.111033883550311,0.163501006167216,0.226513173127315,0.084066966502593,0.137501026492167,0.641555855297047,0.137501026492167,0.084066966502593,0.23879274945159,0.111033883550311,0.321936273706465,0.176318284277183,0.111033883550311,0.505893260531457,0.739854261639821,0.214120281650427,0.189037897631743,0.495692160577013,0.097613262755309,0.650778142954816,0.286877837383047,0.263039865293563,0.275004448541106,0.163501006167216,0.111033883550311,0.097613262755309,0.0703873337062246,0.056584800958701,0.432948244131986,0.622930175564276,-1.57152524224268e-08,0.799067951821434,0.310339138816876,0.226513173127315,0.124327270460246,0.389570020185858,0.176318284277183,0.084066966502593
"ENSG00000090932",6.42882676204793,8.03530428138853,3.16674253065192,9.18288193631057,2.10771321217891,7.28526936222471,4.34692245012225,6.67873728156002,4.50080658343489,5.95236532723704,6.67655875075983,7.02957371078975,5.56350256433789,7.73756890029964,2.13421260952259,1.95607918033573,2.54845140199141,2.33052812097738,2.06694368782009,2.63462661995224,2.78449325002978,2.40325644644005,2.52105784587366,2.76340091628401,2.43293383936558,3.11770021970532,2.31036830987079,2.76340091628401,3.07037151584977,2.28391675858572,2.84394918140855,2.45939433023147,2.43024491951928,2.63924327177218,2.44623213672057,2.24794704789761,2.26305101527877,2.44361924686195,2.63924327177218,3.00003412413122,1.89527558947069,2.03212075393997,3.07213380098287,3.09763106427352,3.1276156109181,2.05659793886958,2.49821716649722,2.65075519004897,1.90692277168855,1.15702672914895,1.19535379927889,2.53602398172824,2.14078271266906,-1.57152524224268e-08,2.80941013958963,3.14082025826377,2.7928764302995,2.96343323801758,2.65538166521399,3.01974360175933,2.04612395963622
"ENSG00000091428",3.36178618129391,3.46464002513081,2.89722066834891,3.42630994499335,1.06352846791354,4.75431432379173,1.60879075561249,3.83490861230036,5.92167408087453,6.26377961108591,5.0565705636224,5.42689792576576,5.21493643567051,3.72133146827846,6.24127835982475,5.91744504994455,7.07304379672304,7.21255018371894,6.79741582124205,7.88530864262951,7.21115961800176,7.29172782643118,6.97639120213361,7.17222750364108,6.1715349232825,7.5063487666881,7.22615834083661,6.81119157523075,6.59755981954483,6.36874666584576,7.90393013842919,6.19451455447996,6.31412799088674,6.88811932988078,7.2422508503061,5.95236532723704,6.67596461162481,6.43129779768832,7.33346387779848,7.44797790853228,6.21236918257644,6.00491930678945,6.61804779193988,7.26837887747217,7.22427102648809,5.99300831648429,8.32191101207234,7.29739155544581,7.95412353230314,4.30302537142369,4.66044712790397,7.46885862486067,7.89377283326384,-1.57152524224268e-08,7.93778997394374,7.49928787336461,7.73070127519258,7.26758406278605,7.48725496257322,7.79211717811739,4.73765838914509
"ENSG00000091986",5.20870895225649,6.41953611305818,5.75111110242794,3.57042698527209,1.71371914882577,5.64097568881657,5.64587575895434,4.46078132478887,3.41950854547571,5.13462119869276,5.90829925453781,7.19576467889665,6.34908887860532,6.65606235186088,0.978174336475226,1.20162200397468,2.47250123070552,0.807361439533192,1.56070584236227,2.45677610940394,2.56804852523721,1.57044449766898,1.09761144090414,1.09761144090414,0.378503428699139,1.06352846791354,1.48542799702022,2.62758119843743,3.76232332816254,2.17633428040241,1.93356771560166,0.948623484540484,2.26305101527877,2.28391675858572,0.678058046144846,2.08067236663099,1.22650323616547,1.37293131323776,2.83190529454906,1.43297002846825,1.52104450551416,1.35049804607797,1.73983062623334,3.06869761406979,2.85997549770899,1.37852805951426,1.61822006822015,1.92980320550545,1.57529313218458,1.11767287700506,0.799067951821434,2.68260791167126,2.66220029322413,9.92847976419412,4.60996178361924,1.10434317316511,2.23572075584123,0.970849567099916,2.618197618063,2.22651029973919,0.765540375264906
"ENSG00000099715",0.0285684699491018,0.014354777466893,-1.57152524224268e-08,0.443614417751655,0.250954424227243,-1.57152524224268e-08,0.014354777466893,1.70489901882787,0.014354777466893,0.176318284277183,0.176318284277183,0.848008410864909,0.575314001522003,0.084066966502593,0.163501006167216,0.74845040866995,0.696007163345216,0.189037897631743,1.1374837886789,1.97088170336076,2.43293383936558,1.44889732130762,1.36177864085372,0.895309498828335,0.176318284277183,0.722454405769669,0.226513173127315,1.2203239161193,0.74845040866995,0.848008410864909,1.34484860176739,0.454178305514821,1.33915294741526,0.839937669571167,1.43826774873081,0.641555855297047,1.63689653937898,0.443614417751655,0.978174336475226,2.13096945334008,0.333419236285409,0.422221894295255,1.40055332093844,2.68708448988025,1.49567519477961,0.594550175183404,2.31036830987079,1.996367824148,1.1374837886789,0.124327270460246,0.097613262755309,1.75704605585286,1.79074027417847,-1.57152524224268e-08,0.871834393063062,1.88752991365613,0.978174336475226,2.10771321217891,2.07037204489893,1.62294591449378,0.15055651843769
"ENSG00000100162",4.34273876878678,3.5160261088187,1.71810328073022,3.66338489690112,3.88948277643168,5.0116822624268,4.34273876878678,5.25893901615532,2.25395199079054,2.49056594564323,1.851997059571,4.02233783904806,1.23264484686769,2.7333490812012,0.632259604337141,0.321936273706465,0.34483601749216,0.41142546871203,0.443614417751655,0.641555855297047,0.565594316150026,0.831879674807896,0.999978992078611,0.475073487060687,0.782420652403773,0.773987400246651,0.356134582211424,1.02858442607266,0.839937669571167,0.565594316150026,0.632259604337141,0.333419236285409,0.333419236285409,0.622930175564276,0.641555855297047,0.696007163345216,0.74845040866995,0.713697275872429,0.659920855917282,0.526083952573338,1.00720405356329,0.516027271053183,1.3334115699462,0.773987400246651,0.848008410864909,0.790753737122801,0.696007163345216,0.226513173127315,0.454178305514821,0.823748155783488,0.124327270460246,0.650778142954816,0.632259604337141,-1.57152524224268e-08,2.56804852523721,0.856001427942224,0.75704057655925,0.321936273706465,1.14404699153806,0.696007163345216,0.111033883550311
"ENSG00000100867",3.560721376525,3.9708739381457,0.443614417751655,5.86936691999091,1.31035705625653,6.48705737598274,5.1554170022522,3.30305301096211,2.87378435429833,3.02860331869983,2.40049914487118,3.27351733815949,1.15057991651262,3.89433284087333,0.214120281650427,0.422221894295255,0.75704057655925,-1.57152524224268e-08,0.084066966502593,0.545956163526288,0.565594316150026,0.36737308274667,0.650778142954816,0.189037897631743,0.226513173127315,0.61353728704226,0.111033883550311,1.44357685217348,1.50078148438499,0.443614417751655,0.659920855917282,0.58496834289468,0.15055651843769,0.400526937297596,0.226513173127315,0.226513173127315,0.871834393063062,0.389570020185858,0.454178305514821,0.773987400246651,0.084066966502593,0.137501026492167,0.948623484540484,1.07726468373127,0.263039865293563,0.124327270460246,0.333419236285409,0.918387489927324,0.2986649344837,0.137501026492167,-1.57152524224268e-08,0.516027271053183,0.641555855297047,-1.57152524224268e-08,0.321936273706465,1.05660092680878,0.2986649344837,0.887510993793534,0.73117441095344,1.03564304866388,0.124327270460246
"ENSG00000100987",-1.57152524224268e-08,0.0285684699491018,0.310339138816876,0.0703873337062246,-1.57152524224268e-08,0.042643975470667,0.084066966502593,1.83993785709598,0.863959143812243,0.46467850914319,0.799067951821434,0.124327270460246,0.632259604337141,-1.57152524224268e-08,1.1374837886789,1.41145617307414,1.43297002846825,1.3334115699462,1.11104852741775,1.32768516058368,2.12102180519468,1.22650323616547,1.90692277168855,1.3045126815928,1.5058976541285,1.45944493660552,1.51095873997018,1.54599631650442,1.16349700625866,1.87579463644099,1.18271243746554,1.08407152056007,0.815589110153214,1.65992519289022,1.28094237366227,0.910726136775185,1.50078148438499,1.67356364651784,0.978174336475226,1.49057880116246,1.46990885738364,0.863959143812243,1.41683239866187,1.98184972412821,2.48801748408632,2.48538783673361,1.36177864085372,1.76550974528618,0.879715956322992,0.739854261639821,0.918387489927324,1.85996139538859,1.37293131323776,-1.57152524224268e-08,1.42762084508111,1.8278456852217,1.43826774873081,1.3334115699462,1.53608008337263,2.10433425042278,0.956072839616785
"ENSG00000101230",1.3334115699462,2.79912638385043,0.34483601749216,1.34484860176739,8.19522575087733,0.111033883550311,0.111033883550311,1.85597713269965,0.903017485552586,1.52104450551416,0.565594316150026,1.31035705625653,1.2750031987187,1.70046322781412,0.014354777466893,0.286877837383047,0.485434233746944,0.604086653010442,0.799067951821434,1.41683239866187,0.58496834289468,0.536053105960535,0.565594316150026,0.454178305514821,0.333419236285409,0.422221894295255,0.856001427942224,0.555816486699967,0.895309498828335,0.201631175400006,0.687043882145469,0.41142546871203,0.443614417751655,0.36737308274667,0.565594316150026,0.333419236285409,0.669015601438227,0.815589110153214,0.910726136775185,0.807361439533192,0.454178305514821,0.622930175564276,0.214120281650427,0.765540375264906,0.650778142954816,0.432948244131986,0.41142546871203,0.687043882145469,0.815589110153214,0.495692160577013,0.536053105960535,0.536053105960535,0.839937669571167,-1.57152524224268e-08,0.310339138816876,1.18905041247074,0.970849567099916,0.565594316150026,1.04965224991512,0.422221894295255,0.111033883550311
